Date,TimeStart,TimeEnd,Elapsed,Temperature,Weather,Location,Barn.in.out.,Animal,Sex,Treatment,Collard,CollarIssue,RelDay,AdjObTime,pro.SHU,pro.SHD,pro.lay,pro.headshake,pro.walk,pro.FHU,pro.FHD,pro.scratch,pro.social,pro.oov,TotalObs,ModTotObs
10/16/2015,9:35,9:45,10,18,Sunny,Meade,out,Violet,Female,Vectronic,No,No,-6,1,0.175,0,0,0.05,NA,0.3,0.125,0.2,0.125,0.025,39,40
10/16/2015,9:50,10:00,10,18,Sunny,Meade,out,Shadow,Female,ATS,No,No,-6,1,0.489361702,0,0,0,NA,0,0.319148936,0.191489362,0,NA,47,47
10/16/2015,9:50,10:00,10,18,Sunny,Meade,out,Ruby,Female,ATS,No,No,-6,1,0.15,0,0,0,NA,0.3,0.425,0.125,0,0,40,40
10/16/2015,10:10,10:20,10,20,Sunny,Meade,out,Chari,Female,Vectronic,No,No,-16,1,0.4,0,0,0,NA,0.2,0.288888889,0.044444444,0.066666667,NA,45,45
10/16/2015,10:10,10:20,10,20,Sunny,Meade,out,Jena,Female,Vectronic,No,No,-6,1,0.625,0,0,0,NA,0.075,0.2,0,0.05,0.05,38,40
10/19/2015,9:55,10:05,10,6,Sunny,Meade,out,Violet,Female,Vectronic,No,No,-3,1,0.25,0,0,0.075,0,0.425,0.125,0.1,0,0.025,39,40
10/19/2015,10:10,10:20,10,6,Sunny,Meade,out,Niamey,Female,ATS,No,No,-15,1,0.375,0.1,0,0,0,0,0.2,0,0.325,0,40,40
10/19/2015,10:15,10:25,10,7,Sunny,Meade,out,Ruby,Female,ATS,No,No,-3,1,0.266666667,0.155555556,0,0.022222222,0,0,0.333333333,0.133333333,0.088888889,NA,45,45
10/19/2015,10:30,10:40,10,7,Sunny,Meade,out,Shadow,Female,ATS,No,No,-3,1,0.175,0.1,0,0,0,0,0.125,0.45,0.1,0.05,38,40
10/19/2015,10:45,10:55,10,8,Sunny,Meade,out,Jena,Female,Vectronic,No,No,-3,1,0.2,0,0,0.075,0,0.075,0.35,0.2,0.1,0,40,40
10/19/2015,11:15,11:25,10,9,Sunny,Meade,out,Niamey,Female,ATS,No,No,-15,1,0.428571429,0.238095238,0,0,0,0.095238095,0.238095238,0,0,NA,42,42
10/19/2015,11:15,11:25,10,9,Sunny,Meade,out,Chari,Female,Vectronic,No,No,-15,1,0.05,0.1,0,0,0,0.125,0.575,0.05,0.1,0,40,40
10/20/2015,9:33,9:43,10,11,Sunny,Meade,out,Scout,Female,ATS,No,No,-2,1,0.25,0,0,0,0,0,0.45,0.225,0.075,0,40,40
10/20/2015,8:42,8:52,10,6,Sunny,Meade,out,Cat,Female,control,No,No,-2,1,0.219512195,0.024390244,0,0,0,0.097560976,0.658536585,0,0,NA,41,41
10/20/2015,8:42,8:52,10,6,Sunny,Meade,out,Bamako,Female,ATS,No,No,-2,1,0.275,0.075,0,0,0,0.325,0.325,0,0,0,40,40
10/20/2015,8:56,9:06,10,8,Sunny,Meade,out,Ruby,Female,ATS,No,No,-2,1,0.024390244,0.097560976,0,0,0,0,0.87804878,0,0,NA,41,41
10/20/2015,8:56,9:06,10,8,Sunny,Meade,out,Jena,Female,Vectronic,No,No,-2,1,0.243902439,0.048780488,0,0.048780488,0,0.097560976,0.463414634,0.097560976,0,NA,41,41
10/21/2015,7:50,8:00,10,7,Sunny,Meade,out,Violet,Female,Vectronic,No,No,-1,1,0.325,0.35,0,0,0,0.25,0.075,0,0,0,40,40
10/21/2015,7:50,8:00,10,7,Sunny,Meade,out,Scout,Female,ATS,No,No,-1,1,0,0.15,0,0.175,0,0,0.35,0.275,0.05,0,40,40
10/21/2015,7:50,8:00,10,7,Sunny,Meade,out,Cat,Female,control,No,No,-1,1,0,0,0,0.025,0,0.325,0.5,0,0.15,0,40,40
10/21/2015,8:15,8:25,10,9,Sunny,Meade,out,Niamey,Female,ATS,No,No,-13,1,0.15,0,0,0.175,0,0,0.4,0.05,0.175,0.05,38,40
10/21/2015,8:15,8:25,10,9,Sunny,Meade,out,Chari,Female,Vectronic,No,No,-13,1,0.6,0,0,0,0,0.2,0.2,0,0,0,40,40
10/21/2015,8:15,8:25,10,9,Sunny,Meade,out,Loretta,Female,control,No,No,-1,1,0.375,0.125,0,0,0,0,0.5,0,0,0,40,40
10/21/2015,8:33,8:43,10,9,Sunny,Meade,out,Jena,Female,Vectronic,No,No,-1,1,0.325,0,0,0.1,0,0,0.275,0.225,0.075,0,40,40
10/21/2015,8:33,8:43,10,9,Sunny,Meade,out,Shadow,Female,ATS,No,No,-1,1,0.404761905,0,0,0.095238095,0,0.119047619,0.19047619,0.19047619,0,NA,42,42
10/21/2015,8:50,9:00,10,10,Sunny,Meade,out,Ruby,Female,ATS,No,No,-1,1,0.225,0,0,0.05,0,0.2,0.325,0.125,0.075,0,40,40
