"","Date","TimeStart","TimeEnd","Elapsed","Temperature","Weather","Location","Barn.in.out.","Animal","Sex","Treatment","Collard","CollarIssue","RelDay","AdjObTime","TotalObs","ModTotObs","HU","HD","LAY","HDSK","LOCO","SCRATCH","OOV","RSums"
"1","10/8/2015",2015-10-08 10:23:00,2015-10-08 10:33:00,10,19,"Sunny","Meade","in","Loretta","Female","control","No","No",-14,1,40,40,38,0,0,0,2,0,0,1
"2","10/8/2015",2015-10-08 10:23:00,2015-10-08 10:33:00,10,19,"Sunny","Meade","in","Ruby","Female","ATS","No","No",-14,1,40,40,30,1,0,6,1,2,0,1
"3","10/8/2015",2015-10-08 10:23:00,2015-10-08 10:33:00,10,19,"Sunny","Meade","in","Scout","Female","ATS","No","No",-14,1,39,40,29,1,0,0,6,3,1,1
"4","10/8/2015",2015-10-08 10:23:00,2015-10-08 10:33:00,10,19,"Sunny","Meade","in","Bamako","Female","ATS","No","No",-14,1,36,40,29,1,0,0,4,2,4,1
"5","10/9/2015",2015-10-09 08:45:00,2015-10-09 08:55:00,10,18,"Sunny","Meade","in","Violet","Female","Vectronic","No","No",-13,1,36,40,9,0,18,8,1,0,4,1
"6","10/9/2015",2015-10-09 08:45:00,2015-10-09 08:55:00,10,18,"Sunny","Meade","in","Bamako","Female","ATS","No","No",-13,1,40,40,8,0,30,0,2,0,0,1
"7","10/15/2015",2015-10-15 11:15:00,2015-10-15 11:25:00,10,16,"Sunny","Meade","out","Chari","Female","Vectronic","No","No",-17,1,39,40,13,20,0,6,0,0,1,1
"8","10/15/2015",2015-10-15 11:15:00,2015-10-15 11:25:00,10,16,"Sunny","Meade","out","Jena","Female","Vectronic","No","No",-7,1,42,42,7,25,0,2,6,0,0,1
"9","10/15/2015",2015-10-15 11:15:00,2015-10-15 11:25:00,10,16,"Sunny","Meade","out","Niamey","Female","ATS","No","No",-17,1,40,40,17,15,0,3,5,0,0,1
"10","10/15/2015",2015-10-15 11:15:00,2015-10-15 11:25:00,10,16,"Sunny","Meade","out","Ruby","Female","ATS","No","No",-7,1,42,42,13,12,0,11,2,3,0,1.000000001
"11","10/15/2015",2015-10-15 11:30:00,2015-10-15 11:40:00,10,16,"Sunny","Meade","out","Violet","Female","Vectronic","No","No",-7,1,40,40,36,0,0,4,0,0,0,1
"12","10/15/2015",2015-10-15 11:30:00,2015-10-15 11:40:00,10,16,"Sunny","Meade","out","Loretta","Female","control","No","No",-7,1,40,40,11,24,0,1,4,0,0,1
"13","10/16/2015",2015-10-16 09:35:00,2015-10-16 09:45:00,10,18,"Sunny","Meade","out","Scout","Female","ATS","No","No",-6,1,40,40,3,27,0,0,2,8,0,1
"14","10/16/2015",2015-10-16 09:35:00,2015-10-16 09:45:00,10,18,"Sunny","Meade","out","Violet","Female","Vectronic","No","No",-6,1,39,40,19,5,0,2,5,8,1,1
"15","10/16/2015",2015-10-16 09:50:00,2015-10-16 10:00:00,10,18,"Sunny","Meade","out","Shadow","Female","ATS","No","No",-6,1,47,47,22,14,0,0,0,9,0,1
"16","10/16/2015",2015-10-16 09:50:00,2015-10-16 10:00:00,10,18,"Sunny","Meade","out","Ruby","Female","ATS","No","No",-6,1,40,40,18,17,0,0,0,5,0,1
"17","10/16/2015",2015-10-16 10:10:00,2015-10-16 10:20:00,10,20,"Sunny","Meade","out","Chari","Female","Vectronic","No","No",-16,1,45,45,27,13,0,0,3,1,0,1
"18","10/16/2015",2015-10-16 10:10:00,2015-10-16 10:20:00,10,20,"Sunny","Meade","out","Jena","Female","Vectronic","No","No",-6,1,38,40,28,8,0,0,2,0,2,1
"19","10/19/2015",2015-10-19 09:55:00,2015-10-19 10:05:00,10,6,"Sunny","Meade","out","Violet","Female","Vectronic","No","No",-3,1,39,40,27,5,0,3,0,4,1,1
"20","10/19/2015",2015-10-19 10:10:00,2015-10-19 10:20:00,10,6,"Sunny","Meade","out","Niamey","Female","ATS","No","No",-15,1,40,40,15,12,0,0,13,0,0,1
