"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff","median","hdi_low","hdi_high"
"PROBS[1,1]",0.468113507344707,0.0501351119793423,0.345259767346912,0.473473157271742,0.550999899472692,1.01,350,0.473473157271742,0.35429147454196,0.555413205138066
"PROBS[2,1]",0.4128297060457,0.0565177464003703,0.274518387509847,0.418439425841805,0.508337790084286,1.02,281,0.418439425841805,0.295279972569199,0.521764882399688
"PROBS[3,1]",0.457625815403289,0.0559330911308555,0.321290763935115,0.464313708188721,0.549171356270956,1.01,280,0.464313708188721,0.340284692876919,0.560328977292829
"PROBS[1,2]",0.216809018517165,0.085196303726843,0.0895645410694375,0.202009229949963,0.432806208750665,1.02,199,0.202009229949963,0.0653640008290678,0.38360979539371
"PROBS[2,2]",0.266603657118276,0.0956305511291613,0.117417162339006,0.252140429593205,0.501278263321532,1.02,198,0.252140429593205,0.0903842733970204,0.45652751993152
"PROBS[3,2]",0.2751441860567,0.0986047993419423,0.119123734769105,0.260316458686579,0.514106643085414,1.01,196,0.260316458686579,0.0996590346340977,0.477034804404451
"PROBS[1,3]",0.0183268367770636,0.0249463735637998,0.00234795316616536,0.0129520502426995,0.0616183954034961,1.25,206,0.0129520502426995,0.000857708427325594,0.0443434231900284
"PROBS[2,3]",0.0359253625579693,0.0424287392884513,0.00482736446019991,0.0262523740179456,0.118965229178803,1.22,188,0.0262523740179456,0.00195773056679277,0.0889912207016408
"PROBS[3,3]",0.00144350666887098,0.00244980250149699,0.000162076551986598,0.000944154220641532,0.00500833324613264,1.26,235,0.000944154220641532,5.23163824921329e-05,0.00362588851479659
"PROBS[1,4]",0.0515893517308224,0.00790195353706104,0.0364024338381806,0.0512907990985617,0.0681378460631237,1.01,2045,0.0512907990985617,0.0356238194262649,0.0671807787768648
"PROBS[2,4]",0.0775082606103489,0.0131340973409379,0.0518954936079474,0.0772909188810128,0.103976891547827,1.02,1255,0.0772909188810128,0.0514114194185183,0.103370081358868
"PROBS[3,4]",0.0276388956115375,0.00436337523234332,0.0192060030272333,0.0275097856209894,0.0368241389930696,1,1566,0.0275097856209894,0.0190235839928915,0.0365450119814873
"PROBS[1,5]",0.141843650037613,0.032305606741151,0.0783893371767083,0.141483055670783,0.20700591428445,1.01,330,0.141483055670783,0.0740410261428925,0.201555544984581
"PROBS[2,5]",0.166594943439808,0.0420058572606121,0.0844023524235957,0.166031448397211,0.25114198296458,1.01,270,0.166031448397211,0.0824965464521875,0.24844780688259
"PROBS[3,5]",0.198551853814501,0.0460006701795603,0.106822373620832,0.198833621188454,0.289789907890205,1.01,267,0.198833621188454,0.102711739510826,0.284509023080849
"PROBS[1,6]",0.103317635592629,0.0246238115892215,0.0560820140845093,0.102277947679249,0.157068763452403,1.01,428,0.102277947679249,0.0545903193856916,0.15445676068889
"PROBS[2,6]",0.0405380702278983,0.0119506623787571,0.0192955049041907,0.0396090680011452,0.066787881246206,1.01,452,0.0396090680011452,0.0175225910706832,0.0640177824454287
"PROBS[3,6]",0.0395957424451022,0.0106106920451709,0.0201969013676948,0.039011391293703,0.0630772876398191,1.01,368,0.039011391293703,0.0178198318405295,0.0601697977839091
