"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff","median","hdi_low","hdi_high"
"PROBS[1,1]",0.463905340590942,0.0541995607827195,0.339325982863416,0.469675042369061,0.55448717090338,1.03,371,0.469675042369061,0.350860659728315,0.560967852245506
"PROBS[2,1]",0.408057225770702,0.059965627670467,0.274235706947559,0.413535111099789,0.511145742902007,1.04,309,0.413535111099789,0.285242876902373,0.518867959659166
"PROBS[3,1]",0.451763076240144,0.0606283510429056,0.31040366474957,0.458955118954598,0.551327498488402,1.04,313,0.458955118954598,0.323393528681225,0.558364418901642
"PROBS[1,2]",0.225937552442811,0.0938007097218742,0.0823920222205905,0.212897214092424,0.448076785360036,1.05,212,0.212897214092424,0.0644939735340151,0.409282071544398
"PROBS[2,2]",0.276971835470158,0.104821967142604,0.10755086805874,0.265208193425686,0.518158863764746,1.05,216,0.265208193425686,0.0858208705874562,0.479103843085878
"PROBS[3,2]",0.285768279035799,0.108966365557096,0.109634157458248,0.27376214373423,0.535609737081232,1.05,215,0.27376214373423,0.0909927370914178,0.498964213459545
"PROBS[1,3]",0.0172555149397152,0.01531795323873,0.00136463168427533,0.0132545951081876,0.0585371207305033,1.04,236,0.0132545951081876,7.32419020195308e-05,0.0453814039192166
"PROBS[2,3]",0.034381592982645,0.029563566369011,0.00284343371863039,0.0268648398715034,0.113262478439013,1.03,235,0.0268648398715034,0.000130320113410642,0.0888122754226115
"PROBS[3,3]",0.00132350827080768,0.0013105118850019,9.80627155653469e-05,0.000965094506808708,0.00478815125378538,1.03,276,0.000965094506808708,5.83854750305979e-06,0.00365946644685277
"PROBS[1,4]",0.0512914189773857,0.00808289848248541,0.0362328707932174,0.0509608551537075,0.0682105292657363,1,2982,0.0509608551537075,0.0356195218284191,0.0674890789896815
"PROBS[2,4]",0.0768823963934185,0.013648591411094,0.0509515910272674,0.0764775130456654,0.105019592570092,1,1554,0.0764775130456654,0.049870839859077,0.103842928421769
"PROBS[3,4]",0.0273593834037106,0.00457370377819051,0.0186533359493177,0.0272267609007457,0.0367656073638858,1,2103,0.0272267609007457,0.0183785039833084,0.036451456928543
"PROBS[1,5]",0.139417404979345,0.0360033267189729,0.0731086958224601,0.137506247713325,0.214669261491636,1.03,387,0.137506247713325,0.069300226540665,0.209960213627071
"PROBS[2,5]",0.163679517731161,0.0465832318045669,0.0794962659334188,0.160805532929833,0.261562596860277,1.03,309,0.160805532929833,0.0762775192547341,0.257193477827151
"PROBS[3,5]",0.194852447941168,0.0515134791372182,0.0973562863363691,0.192965678552576,0.300461561579489,1.03,319,0.192965678552576,0.0945609259681608,0.297124536610769
"PROBS[1,6]",0.102192768069801,0.0254909507897729,0.0560072777257645,0.100922539444259,0.155465150662632,1.03,728,0.100922539444259,0.0554034196434731,0.154577390537237
"PROBS[2,6]",0.0400274316519162,0.0123461457414082,0.0191361086930926,0.0389113273174763,0.0669353316170689,1.03,796,0.0389113273174763,0.0174044894019154,0.0643542040646048
"PROBS[3,6]",0.0389333051083702,0.01100479605854,0.019637347686081,0.0381801135358758,0.0623876445533844,1.04,694,0.0381801135358758,0.0183907528975322,0.0608158790748411
